l_m,l_nm,lambda_hz,powerlaw_fit_hz,residual_log10,is_peak
3.606735e-08,36.0673,1.097733e+02,2.807004e+01,0.592254,0
3.657011e-08,36.5701,1.128550e+02,2.852636e+01,0.597274,0
3.707988e-08,37.0799,1.160232e+02,2.899010e+01,0.602295,0
3.759675e-08,37.5967,1.192803e+02,2.946138e+01,0.607316,0
3.812083e-08,38.1208,1.226289e+02,2.994031e+01,0.612337,0
3.865221e-08,38.6522,1.260715e+02,3.042704e+01,0.617357,0
3.919100e-08,39.1910,1.296108e+02,3.092167e+01,0.622378,0
3.973730e-08,39.7373,1.332493e+02,3.142435e+01,0.627399,0
4.029122e-08,40.2912,1.369901e+02,3.193520e+01,0.632419,0
4.085286e-08,40.8529,1.408358e+02,3.245435e+01,0.637440,0
4.142232e-08,41.4223,1.447896e+02,3.298195e+01,0.642461,0
4.199973e-08,41.9997,1.488543e+02,3.351812e+01,0.647482,0
4.258518e-08,42.5852,1.530331e+02,3.406300e+01,0.652502,0
4.317880e-08,43.1788,1.573292e+02,3.461675e+01,0.657523,0
4.378069e-08,43.7807,1.617460e+02,3.517949e+01,0.662544,0
4.439097e-08,44.3910,1.662867e+02,3.575139e+01,0.667565,0
4.500975e-08,45.0098,1.709549e+02,3.633258e+01,0.672585,0
4.563716e-08,45.6372,1.757541e+02,3.692322e+01,0.677606,0
4.627332e-08,46.2733,1.806881e+02,3.752346e+01,0.682627,0
4.691835e-08,46.9183,1.857606e+02,3.813346e+01,0.687647,0
4.757236e-08,47.5724,1.909755e+02,3.875338e+01,0.692668,0
4.823549e-08,48.2355,1.963368e+02,3.938337e+01,0.697689,0
4.890787e-08,48.9079,2.018486e+02,4.002360e+01,0.702710,0
4.958962e-08,49.5896,2.075152e+02,4.067425e+01,0.707730,0
5.028087e-08,50.2809,2.133408e+02,4.133547e+01,0.712751,0
5.098176e-08,50.9818,2.193300e+02,4.200744e+01,0.717772,0
5.169242e-08,51.6924,2.254873e+02,4.269033e+01,0.722793,0
